DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
73,132,7.5,69.24,1015
71,128,8,75.36,1020
45,233,8.3,78.81,1020
41,280,6.8,80.38,1016
39,281,5.9,77.29,1011
43,240,5.8,80.71,1010
43,185,4.4,89.83,1010
45,179,3.5,87.07,1010
76,64,3,91.7,1010
76,61,1.5,95.11,1010
53,8,1.7,96.6,1013
25,144,5,94.46,1018
75,66,6.6,90.77,1015
60,10,5.4,94.34,1010
63,13,4.4,94.27,1010
48,165,1.4,87.46,1010
79,79,1.9,90.14,1010
41,260,2.8,87.14,1010
30,306,5.8,85.62,1013
38,239,5.8,86.71,1010
51,235,4.2,89.46,1010
31,297,3,89.35,1010
27,312,3.1,86.13,1010
52,214,4.4,88.48,1010
75,125,4.4,89.84,1011
61,144,9,78.39,1020
62,72,8,83.4,1020
38,267,6.4,89.55,1018
73,96,4.4,91.85,1010
72,103,5,93.5,1010
42,246,4.9,88.31,1016
62,160,5.8,91.18,1020
45,219,5.9,88.12,1018
70,159,6.1,85.35,1010
56,205,5.3,86.86,1010
47,241,5.3,86.1,1015
34,257,4.5,88.4,1020
49,234,4.2,86.97,1017
58,221,3.1,81.52,1011
45,236,1.7,86.09,1010
65,51,1.9,90.69,1010
68,147,5.7,79.59,1010
56,14,7.2,79.68,1013
68,42,6.3,86.84,1010
36,288,2.7,86.65,1010
66,66,3.1,88.13,1010
48,245,2.3,92.28,1010
60,142,5.2,92.98,1010
59,161,5.4,80.82,1012
63,23,4.9,89.37,1015
84,46,5.2,76.48,1015
33,0,3.5,84.33,1011
51,9,5.5,95.94,1008
38,268,2.9,79.38,1010
84,89,8.7,86.09,1005
64,232,6.2,75.64,1016
72,153,7.2,71.3,1020
54,258,4,79.66,1020
64,226,3.3,77.42,1016
38,1,6.6,94.15,1007
40,319,9.7,74.3,1010
31,372,5.5,75.94,1018
77,206,2.7,78.19,1020
61,234,3.9,81.54,1015
76,25,3.4,96.09,1010
42,4,4.4,98.91,1008
71,115,4.9,78.63,1012
60,251,2.3,71.37,1017
91,130,1.9,79.54,1013
72,49,2.5,95.92,1010
50,278,3.6,92.62,1010
54,268,5.3,88.44,1010
73,208,4.8,85.49,1010
80,76,7.3,82.29,1017
46,245,4.1,85.97,1012
59,271,8.1,81.97,1010
44,344,5,73.04,1013
95,106,7.1,75.89,1010
75,215,4.8,75.37,1018
50,306,4.2,70.32,1020
35,365,2.2,74.88,1020
43,335,3.7,80.79,1020
68,264,6,76.09,1020
84,69,5.8,84.18,1010
82,153,2.7,92.73,1010
42,339,3.6,69.77,1014
58,178,5.5,73.04,1020
75,207,6.7,70.97,1020
108,66,5.1,72.18,1020
91,222,3.4,72.25,1013
57,321,4,78.35,1010
77,71,5.2,87.69,1010
87,174,6.1,92.74,1010
44,358,6.9,75.23,1015
40,376,5.8,67.87,1020
40,377,5,65.73,1020
96,146,5.4,70.29,1020
91,242,1.8,76.39,1013
60,313,1.2,75.44,1012
109,111,2.8,85.13,1010
70,248,3.2,86.36,1010
112,121,2.4,82.74,1010
42,374,5.4,75.6,1013
104,130,6.5,69.12,1020
74,231,7.1,68.44,1020
102,201,7.8,70.41,1020
94,227,7.7,75.62,1020
81,279,5.6,78.98,1020
100,224,5.5,81.25,1014
87,98,4.3,85.68,1010
82,170,4.3,83.94,1010
48,334,2.3,82.35,1010
52,354,2.7,79.59,1010
87,228,2,75.93,1010
64,305,2.5,75.04,1010
118,155,4.4,81.41,1010
110,66,5.4,88.04,1010
125,135,7.7,68.88,1015
101,224,6.8,69.95,1020
99,254,5,69.19,1020
102,102,5.2,91.23,1010
119,112,3,93.19,1010
76,291,3.9,91.71,1012
118,173,4.2,88.65,1012
105,111,2,83.17,1010
92,109,2,84.25,1010
118,153,4,87.84,1010
99,234,4.9,82.2,1010
106,239,5,86.19,1010
88,260,6,83.19,1010
111,100,5.2,76.17,1010
96,102,2.9,76,1011
67,296,3.5,67.3,1010
125,62,5.9,72.94,1013
51,370,3.6,70.07,1010
53,384,3.5,67.94,1010
51,389,4.7,66.08,1010
93,263,6.6,64.28,1018
104,226,5.6,68.66,1018
96,262,2.8,67.55,1013
77,314,3,72.32,1010
104,226,2.8,75.35,1010
100,230,2.9,82.22,1010
149,110,5,87.34,1010
123,188,7.7,73.08,1014
94,253,6.4,65.28,1017
100,255,5.3,66.14,1013
101,242,5.2,67.05,1010
84,291,6.2,71.41,1010
145,123,4.9,75.84,1010
58,367,4.1,78.4,1010
87,273,4.9,77.95,1010
75,320,4.8,73.96,1010
74,302,4,72.7,1010
115,238,3.7,70.96,1010
79,309,2.7,73.58,1010
64,357,3,74.83,1010
105,264,5.1,72.57,1010
62,370,5.4,76.99,1010
100,277,5.2,81.43,1010
133,141,4.8,83.75,1010
76,42,5,90.61,1005
55,400,6,70.93,1005
70,363,4.7,64.27,1010
51,423,4.1,56.54,1010
56,405,3.6,56.1,1010
77,357,5,64.14,1012
81,343,4.9,65.46,1012
142,157,4,74.02,1014
138,171,3.3,69.88,1011
113,217,2.2,70.3,1010
84,302,2.1,70.24,1010
81,316,3,70.23,1010
147,175,3.8,78.22,1010
122,160,5.4,86.27,1010
115,83,3.7,92.97,1010
150,105,2.5,87.83,1010
94,192,2.2,81.31,1010
98,259,2.8,82.51,1010
74,343,3.8,79.88,1010
132,89,2.1,70.74,1010
105,196,2.4,76.89,1010
65,368,5.8,76.8,1016
54,363,5.1,69.42,1010
145,203,4,78.41,1010
127,163,1.9,80.32,1010
