Year,Month,Day,Max Temp (F),Min Temp (F)
2016,12,10,58,37
2016,12,11,64,42
2016,12,12,62,43
2016,12,13,62,43
2016,12,14,59,42
2016,12,15,67,47
2016,12,16,68,48
2016,12,17,50,32
2016,12,18,50,27
2016,12,19,52,33
2016,12,20,56,28
2016,12,21,57,44
2016,12,22,50,43
2016,12,23,54,44
2016,12,24,51,38
2016,12,25,47,33
2016,12,26,47,31
2016,12,27,52,32
2016,12,28,54,32
2016,12,29,61,35
2016,12,30,51,38
2016,12,31,50,43
2017,1,1,57,39
2017,1,2,57,46
2017,1,3,55,44
2017,1,4,57,39
2017,1,5,66,43
2017,1,6,47,33
2017,1,7,46,34
2017,1,8,55,42
2017,1,9,66,44
2017,1,10,64,42
2017,1,11,66,53
2017,1,12,57,47
2017,1,13,56,47
2017,1,14,59,49
2017,1,15,57,44
2017,1,16,57,40
2017,1,17,,
2017,1,18,54,33
2017,1,19,56,43
2017,1,20,49,42
2017,1,21,56,41
2017,1,22,48,43
2017,1,23,52,41
2017,1,24,49,37
2017,1,25,50,35
2017,1,26,49,33
2017,1,27,51,37
2017,1,28,56,34
2017,1,29,61,36
2017,1,30,64,38
2017,1,31,63,38
2017,2,1,63,39
2017,2,2,66,45
2017,2,3,71,47
2017,2,4,65,46
2017,2,5,63,43
2017,2,6,64,52
2017,2,7,72,49
2017,2,8,68,50
2017,2,9,73,50
2017,2,10,75,57
2017,2,11,64,52
2017,2,12,65,51
2017,2,13,70,50
2017,2,14,70,50
2017,2,15,70,44
2017,2,16,70,45
2017,2,17,63,51
2017,2,18,58,50
2017,2,19,61,47
2017,2,20,65,51
2017,2,21,69,52
2017,2,22,65,47
2017,2,23,55,41
2017,2,24,53,37
2017,2,25,51,34
2017,2,26,59,36
2017,2,27,57,47
2017,2,28,61,45
2017,3,1,61,41
2017,3,2,69,42
2017,3,3,70,42
2017,3,4,76,50
2017,3,5,68,47
2017,3,6,56,40
2017,3,7,66,38
2017,3,8,75,49
2017,3,9,81,50
2017,3,10,78,52
2017,3,11,81,58
2017,3,12,86,58
2017,3,13,83,54
2017,3,14,87,57
2017,3,15,87,57
2017,3,16,84,58
2017,3,17,86,59
2017,3,18,89,59
2017,3,19,90,59
2017,3,20,88,64
2017,3,21,83,68
2017,3,22,72,58
2017,3,23,72,53
2017,3,24,75,45
2017,3,25,71,57
2017,3,26,73,48
2017,3,27,74,47
2017,3,28,73,49
2017,3,29,77,54
2017,3,30,81,45
2017,3,31,67,44
2017,4,1,76,55
2017,4,2,82,52
2017,4,3,74,51
2017,4,4,70,48
2017,4,5,75,51
2017,4,6,83,53
2017,4,7,82,67
2017,4,8,75,56
2017,4,9,68,49
2017,4,10,75,50
2017,4,11,79,53
2017,4,12,86,53
2017,4,13,82,61
2017,4,14,77,55
2017,4,15,80,59
2017,4,16,88,57
2017,4,17,81,69
2017,4,18,84,62
2017,4,19,81,60
2017,4,20,86,57
2017,4,21,80,61
2017,4,22,82,59
2017,4,23,89,62
2017,4,24,84,60
2017,4,25,78,62
2017,4,26,86,56
2017,4,27,84,68
2017,4,28,72,58
2017,4,29,78,55
2017,4,30,84,55
2017,5,1,88,64
2017,5,2,94,67
2017,5,3,90,71
2017,5,4,95,65
2017,5,5,99,69
2017,5,6,89,64
2017,5,7,64,53
2017,5,8,78,54
2017,5,9,78,55
2017,5,10,78,51
2017,5,11,87,63
2017,5,12,92,65
2017,5,13,83,63
2017,5,14,85,57
2017,5,15,76,60
2017,5,16,79,56
2017,5,17,79,58
2017,5,18,75,54
2017,5,19,80,52
2017,5,20,88,61
2017,5,21,96,63
2017,5,22,95,70
2017,5,23,100,73
2017,5,24,102,72
2017,5,25,98,73
2017,5,26,91,70
2017,5,27,91,71
2017,5,28,94,70
2017,5,29,99,70
2017,5,30,99,72
2017,5,31,97,71
2017,6,1,94,68
2017,6,2,97,67
2017,6,3,102,73
2017,6,4,104,76
2017,6,5,103,78
2017,6,6,104,73
2017,6,7,101,73
2017,6,8,100,75
2017,6,9,95,75
2017,6,10,93,71
2017,6,11,89,64
2017,6,12,80,58
2017,6,13,89,64
2017,6,14,97,69
2017,6,15,105,71
2017,6,16,106,78
2017,6,17,109,77
2017,6,18,110,85
2017,6,19,113,85
2017,6,20,116,85
2017,6,21,113,82
2017,6,22,114,81
2017,6,23,112,89
2017,6,24,112,88
2017,6,25,112,91
2017,6,26,109,87
2017,6,27,107,78
2017,6,28,106,77
2017,6,29,106,78
2017,6,30,106,79
2017,7,1,110,79
2017,7,2,105,79
2017,7,3,105,75
2017,7,4,107,75
2017,7,5,111,79
2017,7,6,113,85
2017,7,7,115,90
2017,7,8,112,90
2017,7,9,105,89
2017,7,10,104,87
2017,7,11,104,81
2017,7,12,105,81
2017,7,13,108,78
2017,7,14,110,83
2017,7,15,113,87
2017,7,16,109,88
2017,7,17,108,80
2017,7,18,108,79
2017,7,19,93,72
2017,7,20,99,79
2017,7,21,105,78
2017,7,22,107,84
2017,7,23,109,87
2017,7,24,98,84
2017,7,25,84,74
2017,7,26,98,76
2017,7,27,104,78
2017,7,28,107,82
2017,7,29,105,85
2017,7,30,104,72
2017,7,31,107,83
2017,8,1,109,82
2017,8,2,105,73
2017,8,3,98,74
2017,8,4,91,75
2017,8,5,99,74
2017,8,6,101,75
2017,8,7,101,80
2017,8,8,103,80
2017,8,9,106,80
2017,8,10,107,77
2017,8,11,101,79
2017,8,12,104,75
2017,8,13,104,70
2017,8,14,101,79
2017,8,15,95,79
2017,8,16,96,75
2017,8,17,100,76
2017,8,18,103,71
2017,8,19,102,76
2017,8,20,102,78
2017,8,21,92,70
2017,8,22,99,67
2017,8,23,100,77
2017,8,24,91,71
2017,8,25,101,73
2017,8,26,105,77
2017,8,27,109,84
2017,8,28,108,84
2017,8,29,108,83
2017,8,30,106,83
2017,8,31,102,82
2017,9,1,104,82
2017,9,2,105,83
2017,9,3,103,82
2017,9,4,103,82
2017,9,5,105,84
2017,9,6,100,84
2017,9,7,100,80
2017,9,8,85,69
2017,9,9,84,68
2017,9,10,94,72
2017,9,11,101,80
2017,9,12,102,78
2017,9,13,99,80
2017,9,14,89,75
2017,9,15,89,70
2017,9,16,89,72
2017,9,17,91,68
2017,9,18,94,69
2017,9,19,90,73
2017,9,20,91,67
2017,9,21,84,63
2017,9,22,75,57
2017,9,23,74,58
2017,9,24,74,54
2017,9,25,79,60
2017,9,26,81,63
2017,9,27,86,67
2017,9,28,85,62
2017,9,29,89,63
2017,9,30,91,62
2017,10,1,89,66
2017,10,2,76,60
2017,10,3,83,57
2017,10,4,81,63
2017,10,5,84,57
2017,10,6,85,63
2017,10,7,87,57
2017,10,8,90,59
2017,10,9,74,56
2017,10,10,75,49
2017,10,11,85,53
2017,10,12,83,60
2017,10,13,83,57
2017,10,14,79,58
2017,10,15,78,53
2017,10,16,83,54
2017,10,17,86,53
2017,10,18,82,59
2017,10,19,87,65
2017,10,20,81,63
2017,10,21,73,57
2017,10,22,81,54
2017,10,23,91,61
2017,10,24,88,69
2017,10,25,85,59
2017,10,26,85,57
2017,10,27,83,58
2017,10,28,84,57
2017,10,29,83,59
2017,10,30,83,62
2017,10,31,78,62
2017,11,1,77,56
2017,11,2,77,55
2017,11,3,71,57
2017,11,4,75,59
2017,11,5,73,52
2017,11,6,74,49
2017,11,7,71,51
2017,11,8,68,45
2017,11,9,79,49
2017,11,10,78,48
2017,11,11,74,52
2017,11,12,67,50
2017,11,13,70,47
2017,11,14,72,49
2017,11,15,68,48
2017,11,16,80,51
2017,11,17,76,53
2017,11,18,61,45
2017,11,19,63,39
2017,11,20,64,41
2017,11,21,72,47
2017,11,22,79,52
2017,11,23,79,51
2017,11,24,77,51
2017,11,25,77,50
2017,11,26,76,51
2017,11,27,72,53
2017,11,28,63,49
2017,11,29,68,48
2017,11,30,67,44
2017,12,1,68,45
2017,12,2,67,43
2017,12,3,75,51
2017,12,4,53,45
2017,12,5,57,40
2017,12,6,64,43
2017,12,7,64,39
2017,12,8,64,40
2017,12,9,66,39
2017,12,10,65,38
2017,12,11,65,37
2017,12,12,68,38
2017,12,13,68,42
2017,12,14,68,44
2017,12,15,61,37
2017,12,16,60,43
2017,12,17,56,46
2017,12,18,58,40
2017,12,19,59,36
2017,12,20,70,41
2017,12,21,50,39
2017,12,22,50,32
2017,12,23,52,33
2017,12,24,57,38
2017,12,25,61,42
2017,12,26,59,39
2017,12,27,62,35
2017,12,28,65,36
2017,12,29,64,37
2017,12,30,64,37
2017,12,31,64,39
2018,1,1,63,37
2018,1,2,63,42
2018,1,3,61,39
2018,1,4,64,40
2018,1,5,67,40
2018,1,6,64,48
2018,1,7,65,46
2018,1,8,54,48
2018,1,9,51,43
2018,1,10,63,40
2018,1,11,61,41
2018,1,12,62,41
2018,1,13,65,44
2018,1,14,66,43
2018,1,15,65,44
2018,1,16,63,46
2018,1,17,66,43
2018,1,18,64,45
2018,1,19,71,48
2018,1,20,58,43
2018,1,21,54,38
2018,1,22,53,34
2018,1,23,59,39
2018,1,24,60,36
2018,1,25,65,37
2018,1,26,58,39
2018,1,27,60,38
2018,1,28,72,50
2018,1,29,70,46
2018,1,30,70,45
2018,1,31,70,44
2018,2,1,70,44
2018,2,2,74,45
2018,2,3,77,50
2018,2,4,74,54
2018,2,5,76,51
2018,2,6,71,52
2018,2,7,68,44
2018,2,8,74,48
2018,2,9,76,49
2018,2,10,78,51
2018,2,11,57,41
2018,2,12,61,48
2018,2,13,59,44
2018,2,14,62,50
2018,2,15,64,46
2018,2,16,58,40
2018,2,17,65,37
2018,2,18,72,41
2018,2,19,55,39
2018,2,20,49,33
2018,2,21,50,36
2018,2,22,56,30
2018,2,23,49,36
2018,2,24,51,32
2018,2,25,54,38
2018,2,26,65,32
2018,2,27,53,39
2018,2,28,61,39
2018,3,1,65,46
2018,3,2,69,49
2018,3,3,65,50
2018,3,4,58,41
2018,3,5,61,41
2018,3,6,66,41
2018,3,7,61,41
2018,3,8,70,41
2018,3,9,73,45
2018,3,10,66,53
2018,3,11,66,53
2018,3,12,72,50
2018,3,13,75,52
2018,3,14,72,56
2018,3,15,61,48
2018,3,16,67,46
2018,3,17,61,49
2018,3,18,62,46
2018,3,19,65,45
2018,3,20,66,44
2018,3,21,72,51
2018,3,22,69,58
2018,3,23,72,55
2018,3,24,72,54
2018,3,25,67,46
2018,3,26,65,48
2018,3,27,69,49
2018,3,28,79,50
2018,3,29,79,59
2018,3,30,83,55
2018,3,31,87,57
2018,4,1,85,64
2018,4,2,84,55
2018,4,3,74,56
2018,4,4,81,52
2018,4,5,85,59
2018,4,6,88,64
2018,4,7,92,64
2018,4,8,84,61
2018,4,9,82,63
2018,4,10,87,57
2018,4,11,92,72
2018,4,12,72,55
2018,4,13,72,51
2018,4,14,77,51
2018,4,15,83,55
2018,4,16,80,51
2018,4,17,69,48
2018,4,18,75,48
2018,4,19,69,54
2018,4,20,83,54
2018,4,21,85,55
2018,4,22,89,60
2018,4,23,93,61
2018,4,24,91,66
2018,4,25,91,65
2018,4,26,95,66
2018,4,27,94,67
2018,4,28,87,66
2018,4,29,83,60
2018,4,30,76,61
2018,5,1,68,51
2018,5,2,68,51
2018,5,3,79,53
2018,5,4,88,59
2018,5,5,92,63
2018,5,6,97,68
2018,5,7,97,70
2018,5,8,99,71
2018,5,9,104,71
2018,5,10,97,77
2018,5,11,92,63
2018,5,12,80,60
2018,5,13,84,62
2018,5,14,84,66
2018,5,15,88,67
2018,5,16,91,64
2018,5,17,88,67
2018,5,18,90,68
2018,5,19,93,69
2018,5,20,91,67
2018,5,21,85,73
2018,5,22,86,68
2018,5,23,90,65
2018,5,24,93,68
2018,5,25,90,69
2018,5,26,81,63
2018,5,27,87,71
2018,5,28,92,69
2018,5,29,95,71
2018,5,30,100,74
2018,5,31,93,74
2018,6,1,93,68
2018,6,2,101,76
2018,6,3,105,74
2018,6,4,106,74
2018,6,5,101,78
2018,6,6,100,73
2018,6,7,99,73
2018,6,8,100,70
2018,6,9,101,72
2018,6,10,97,77
2018,6,11,101,76
2018,6,12,105,75
2018,6,13,108,76
2018,6,14,104,77
2018,6,15,100,83
2018,6,16,97,79
2018,6,17,94,74
2018,6,18,93,68
2018,6,19,99,73
